Date,Open,High,Low,Close,Adj Close,Volume
2022-01-28,3600.000000,3750.000000,3600.000000,3750.000000,3315.267090,127578000
2022-01-31,3750.000000,3762.500000,3662.500000,3662.500000,3237.910889,60466600
2022-02-02,3662.500000,3700.000000,3650.000000,3687.500000,3260.012695,38728000
2022-02-03,3662.500000,3675.000000,3612.500000,3650.000000,3226.860107,32303800
2022-02-04,3637.500000,3675.000000,3612.500000,3662.500000,3237.910889,21974000
2022-02-07,3662.500000,3712.500000,3662.500000,3687.500000,3260.012695,57166000
2022-02-08,3712.500000,3800.000000,3700.000000,3750.000000,3315.267090,131125400
2022-02-09,3762.500000,3812.500000,3712.500000,3787.500000,3348.419678,110157800
2022-02-10,3825.000000,3875.000000,3787.500000,3837.500000,3392.623291,142626800
2022-02-11,3825.000000,3887.500000,3787.500000,3850.000000,3403.674072,70289600
2022-02-14,3837.500000,3850.000000,3800.000000,3850.000000,3403.674072,72269600
2022-02-15,3875.000000,3975.000000,3862.500000,3962.500000,3503.132324,136495000
2022-02-16,3975.000000,3987.500000,3950.000000,3975.000000,3514.183105,93191200
2022-02-17,3975.000000,3975.000000,3887.500000,3950.000000,3492.081299,41691800
2022-02-18,3950.000000,3987.500000,3912.500000,3987.500000,3525.233887,39658800
2022-02-21,3950.000000,4000.000000,3925.000000,3950.000000,3492.081299,49586600
2022-02-22,3900.000000,3925.000000,3850.000000,3875.000000,3425.775879,62886200
2022-02-23,3887.500000,3962.500000,3887.500000,3962.500000,3503.132324,71828400
2022-02-24,3950.000000,4000.000000,3850.000000,3912.500000,3458.928467,166483000
2022-02-25,3912.500000,4000.000000,3900.000000,4000.000000,3536.284912,94301200
2022-03-01,4100.000000,4100.000000,3962.500000,3962.500000,3503.132324,74543000
2022-03-02,3925.000000,3950.000000,3875.000000,3887.500000,3436.826904,79796000
2022-03-04,3925.000000,3962.500000,3900.000000,3950.000000,3492.081299,60579000
2022-03-07,3900.000000,3950.000000,3850.000000,3862.500000,3414.725098,76482800
2022-03-08,3850.000000,3912.500000,3762.500000,3800.000000,3359.470459,86761000
2022-03-09,3775.000000,3950.000000,3775.000000,3887.500000,3436.826904,78102800
2022-03-10,3925.000000,3950.000000,3862.500000,3887.500000,3436.826904,38764200
2022-03-11,3925.000000,3987.500000,3887.500000,3975.000000,3514.183105,61069000
2022-03-14,3987.500000,4100.000000,3900.000000,4050.000000,3580.488281,107659400
2022-03-15,4050.000000,4100.000000,4012.500000,4037.500000,3569.437500,67142400
2022-03-16,4050.000000,4200.000000,4050.000000,4175.000000,3690.997314,129432200
2022-03-17,4225.000000,4250.000000,4100.000000,4112.500000,3635.742920,63973200
2022-03-18,4125.000000,4175.000000,4050.000000,4150.000000,3668.895752,117918600
2022-03-21,4162.500000,4175.000000,4025.000000,4037.500000,3569.437500,60900600
2022-03-22,4037.500000,4050.000000,4000.000000,4012.500000,3547.335693,44859000
2022-03-23,4000.000000,4037.500000,3987.500000,4037.500000,3569.437500,71597200
2022-03-24,4000.000000,4125.000000,3975.000000,4112.500000,3772.435059,91401400
2022-03-25,4112.500000,4137.500000,4050.000000,4112.500000,3772.435059,58910800
2022-03-28,4150.000000,4262.500000,4112.500000,4250.000000,3898.565186,95596200
2022-03-29,4250.000000,4275.000000,4187.500000,4187.500000,3841.233398,37284800
2022-03-30,4225.000000,4287.500000,4162.500000,4200.000000,3852.699707,52844800
2022-03-31,4212.500000,4225.000000,4125.000000,4125.000000,3783.901611,53597400
2022-04-01,4125.000000,4225.000000,4062.500000,4100.000000,3760.968750,68466400
2022-04-04,4100.000000,4262.500000,4100.000000,4212.500000,3864.166016,69486600
2022-04-05,4212.500000,4225.000000,4150.000000,4187.500000,3841.233398,29250200
2022-04-06,4137.500000,4150.000000,4062.500000,4075.000000,3738.036133,69207400
2022-04-07,4075.000000,4150.000000,4037.500000,4150.000000,3806.834229,53820600
2022-04-08,4162.500000,4225.000000,4125.000000,4212.500000,3864.166016,83823600
2022-04-11,4250.000000,4250.000000,4175.000000,4200.000000,3852.699707,71495400
2022-04-12,4200.000000,4237.500000,4137.500000,4212.500000,3864.166016,55549200
2022-04-13,4262.500000,4262.500000,4187.500000,4225.000000,3875.632568,57121000
2022-04-14,4225.000000,4250.000000,4175.000000,4200.000000,3852.699707,35981200
2022-04-18,4200.000000,4212.500000,4175.000000,4212.500000,3864.166016,42492600
2022-04-19,4200.000000,4225.000000,4162.500000,4200.000000,3852.699707,44256000
2022-04-20,4250.000000,4512.500000,4225.000000,4487.500000,4116.426270,138547200
2022-04-21,4500.000000,4700.000000,4500.000000,4687.500000,4299.888184,132273800
2022-04-22,4650.000000,4725.000000,4625.000000,4675.000000,4288.421875,85603200
2022-04-25,4662.500000,4950.000000,4587.500000,4750.000000,4357.219727,155795400
2022-04-26,4750.000000,4850.000000,4737.500000,4800.000000,4403.085449,79762000
2022-04-27,4800.000000,4812.500000,4700.000000,4725.000000,4334.287109,103426600
2022-04-28,4725.000000,4775.000000,4575.000000,4612.500000,4231.089844,140241600
2022-05-09,4500.000000,4500.000000,4325.000000,4412.500000,4047.627930,209052000
2022-05-10,4175.000000,4450.000000,4175.000000,4450.000000,4082.027100,166343000
2022-05-11,4475.000000,4600.000000,4375.000000,4387.500000,4024.695313,69604200
2022-05-12,4400.000000,4400.000000,4087.500000,4100.000000,3760.968750,219025000
2022-05-13,4100.000000,4137.500000,4025.000000,4125.000000,3783.901611,110677200
2022-05-17,4175.000000,4325.000000,4100.000000,4225.000000,3875.632568,87783400
2022-05-18,4275.000000,4437.500000,4250.000000,4375.000000,4013.229004,106075600
2022-05-19,4275.000000,4400.000000,4225.000000,4337.500000,3978.829834,64859200
2022-05-20,4350.000000,4462.500000,4350.000000,4387.500000,4024.695313,70372000
2022-05-23,4387.500000,4487.500000,4337.500000,4425.000000,4059.094482,60898200
2022-05-24,4512.500000,4587.500000,4475.000000,4537.500000,4162.291504,58031400
2022-05-25,4487.500000,4575.000000,4437.500000,4462.500000,4093.493408,73700400
2022-05-27,4500.000000,4687.500000,4487.500000,4600.000000,4219.623535,119132800
2022-05-30,4600.000000,4637.500000,4512.500000,4600.000000,4219.623535,66577800
2022-05-31,4637.500000,4675.000000,4537.500000,4587.500000,4208.157227,173358200
2022-06-02,4525.000000,4587.500000,4412.500000,4425.000000,4059.094482,69562600
2022-06-03,4475.000000,4562.500000,4450.000000,4475.000000,4104.959961,44234800
2022-06-06,4450.000000,4487.500000,4350.000000,4450.000000,4082.027100,70969000
